Sample,N (Class 0),S (Class 1),V (Class 2),F (Class 3),Q (Class 4)
0,9.779411554336547852e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.126099467277526855e-01
1,9.264705777168273926e-01,6.666666865348815918e-01,9.756097570061683655e-03,8.997493982315063477e-01,6.290322542190551758e-01
2,6.813725233078002930e-01,1.004566177725791931e-01,7.439024746417999268e-02,6.416040062904357910e-01,5.278592109680175781e-01
3,2.450980395078659058e-01,3.652967885136604309e-02,1.621951162815093994e-01,3.145363330841064453e-01,4.149560034275054932e-01
4,1.544117629528045654e-01,7.305935770273208618e-02,2.402438968420028687e-01,1.015037596225738525e-01,2.844574749469757080e-01
5,1.911764740943908691e-01,5.022830888628959656e-02,2.914634048938751221e-01,1.077694222331047058e-01,1.642228811979293823e-01
6,1.519607901573181152e-01,1.826483942568302155e-02,3.707317113876342773e-01,1.115288212895393372e-01,8.064515888690948486e-02
7,8.578431606292724609e-02,1.050228327512741089e-01,4.426829218864440918e-01,7.142857462167739868e-02,3.225806355476379395e-02
8,5.882352963089942932e-02,1.324200928211212158e-01,4.987804889678955078e-01,6.390977650880813599e-02,0.000000000000000000e+00
9,4.901960864663124084e-02,9.132420271635055542e-02,5.609756112098693848e-01,5.889724195003509521e-02,1.612903177738189697e-02
10,4.411764815449714661e-02,1.187214627861976624e-01,6.121951341629028320e-01,4.385964944958686829e-02,4.398826882243156433e-02
11,6.127450987696647644e-02,1.826484054327011108e-01,6.121951341629028320e-01,3.383458778262138367e-02,1.495601236820220947e-01
12,6.617647409439086914e-02,2.420091331005096436e-01,6.060975790023803711e-01,3.634085133671760559e-02,2.595307826995849609e-01
13,6.127450987696647644e-02,2.648401856422424316e-01,6.146341562271118164e-01,2.756892144680023193e-02,3.269794583320617676e-01
14,4.901960864663124084e-02,2.557077705860137939e-01,6.158536672592163086e-01,2.255639061331748962e-02,3.665689229965209961e-01
15,7.352941483259201050e-02,2.602739632129669189e-01,6.317073106765747070e-01,8.771929889917373657e-03,4.340175986289978027e-01
16,6.127450987696647644e-02,2.648401856422424316e-01,6.414633989334106445e-01,6.265664007514715195e-03,4.882698059082031250e-01
17,6.127450987696647644e-02,2.557077705860137939e-01,6.329268217086791992e-01,1.378446072340011597e-02,5.498533844947814941e-01
18,6.617647409439086914e-02,2.785388231277465820e-01,6.487804651260375977e-01,0.000000000000000000e+00,5.821114182472229004e-01
19,6.862745434045791626e-02,2.922374308109283447e-01,6.670731902122497559e-01,0.000000000000000000e+00,6.129032373428344727e-01
20,9.558823704719543457e-02,2.876712381839752197e-01,6.914634108543395996e-01,8.771929889917373657e-03,6.231671571731567383e-01
21,7.598039507865905762e-02,2.694063782691955566e-01,6.829268336296081543e-01,1.754385977983474731e-02,6.348973512649536133e-01
22,9.313725680112838745e-02,2.876712381839752197e-01,7.121950984001159668e-01,2.756892144680023193e-02,6.319648027420043945e-01
23,1.053921580314636230e-01,2.968036532402038574e-01,7.304878234863281250e-01,4.385964944958686829e-02,6.480938196182250977e-01
24,1.151960790157318115e-01,3.059360682964324951e-01,7.353658676147460938e-01,6.140350922942161560e-02,6.495600938796997070e-01
25,1.029411777853965759e-01,3.059360682964324951e-01,7.317073345184326172e-01,8.646616339683532715e-02,6.598240733146667480e-01
26,1.176470592617988586e-01,3.333333432674407959e-01,7.414634227752685547e-01,1.127819567918777466e-01,6.539589166641235352e-01
27,1.250000000000000000e-01,3.561643958091735840e-01,7.329268455505371094e-01,1.303258091211318970e-01,6.686217188835144043e-01
28,1.421568691730499268e-01,3.652968108654022217e-01,7.243902683258056641e-01,1.629072725772857666e-01,6.759530901908874512e-01
29,1.274509876966476440e-01,3.652968108654022217e-01,6.902438998222351074e-01,1.992481201887130737e-01,6.920821070671081543e-01
30,1.519607901573181152e-01,4.018264710903167725e-01,6.634146571159362793e-01,2.167919725179672241e-01,6.920821070671081543e-01
31,1.446078419685363770e-01,4.383561611175537109e-01,6.536585092544555664e-01,2.380952388048171997e-01,7.096773982048034668e-01
32,1.642156839370727539e-01,4.840182662010192871e-01,6.000000238418579102e-01,2.631579041481018066e-01,7.096773982048034668e-01
33,1.446078419685363770e-01,4.885844886302947998e-01,5.695121884346008301e-01,2.744360864162445068e-01,7.375366687774658203e-01
34,1.593137234449386597e-01,5.296803712844848633e-01,5.536585450172424316e-01,2.844611406326293945e-01,7.521994113922119141e-01
35,1.519607901573181152e-01,5.707762837409973145e-01,5.304877758026123047e-01,2.756892144680023193e-01,7.844575047492980957e-01
36,1.544117629528045654e-01,5.525113940238952637e-01,5.182926654815673828e-01,2.769423425197601318e-01,7.991202473640441895e-01
37,1.421568691730499268e-01,5.388127565383911133e-01,5.036585330963134766e-01,2.756892144680023193e-01,8.284457325935363770e-01
38,1.519607901573181152e-01,5.205479264259338379e-01,4.865853786468505859e-01,2.543859779834747314e-01,8.445748090744018555e-01
39,1.519607901573181152e-01,5.068492889404296875e-01,4.963414669036865234e-01,2.368421107530593872e-01,8.680351972579956055e-01
40,1.470588296651840210e-01,4.566209912300109863e-01,4.939024448394775391e-01,2.305764406919479370e-01,8.695014715194702148e-01
41,1.323529481887817383e-01,4.063926935195922852e-01,4.841463267803192139e-01,2.092731893062591553e-01,8.900293111801147461e-01
42,1.274509876966476440e-01,3.744292259216308594e-01,4.914634227752685547e-01,1.954887211322784424e-01,8.797653913497924805e-01
43,1.348039209842681885e-01,3.515981733798980713e-01,4.951219558715820312e-01,1.842105239629745483e-01,8.841642141342163086e-01
44,1.372549086809158325e-01,2.968036532402038574e-01,4.914634227752685547e-01,1.804511249065399170e-01,8.695014715194702148e-01
45,1.127450987696647644e-01,2.602739632129669189e-01,4.817073047161102295e-01,1.904761940240859985e-01,8.607038259506225586e-01
46,1.078431382775306702e-01,2.328767180442810059e-01,4.878048896789550781e-01,1.804511249065399170e-01,8.211143612861633301e-01
47,1.053921580314636230e-01,2.602739632129669189e-01,4.878048896789550781e-01,1.929824501276016235e-01,7.873900532722473145e-01
48,1.078431382775306702e-01,2.602739632129669189e-01,4.768292605876922607e-01,2.255639135837554932e-01,7.463343143463134766e-01
49,9.803921729326248169e-02,2.511415481567382812e-01,4.841463267803192139e-01,2.418546378612518311e-01,7.140762209892272949e-01
50,9.313725680112838745e-02,2.557077705860137939e-01,4.951219558715820312e-01,2.531328201293945312e-01,6.744868159294128418e-01
51,1.029411777853965759e-01,2.602739632129669189e-01,4.792682826519012451e-01,2.631579041481018066e-01,6.539589166641235352e-01
52,1.004901975393295288e-01,2.602739632129669189e-01,4.963414669036865234e-01,2.644110321998596191e-01,6.173020601272583008e-01
53,1.053921580314636230e-01,2.374429255723953247e-01,4.914634227752685547e-01,2.481203079223632812e-01,6.055718660354614258e-01
54,1.029411777853965759e-01,2.465753406286239624e-01,4.865853786468505859e-01,2.030075192451477051e-01,5.835776925086975098e-01
55,1.176470592617988586e-01,2.602739632129669189e-01,4.841463267803192139e-01,1.804511249065399170e-01,5.762463212013244629e-01
56,1.053921580314636230e-01,2.191780805587768555e-01,4.926829338073730469e-01,1.854636520147323608e-01,5.586510300636291504e-01
57,1.225490197539329529e-01,2.146118730306625366e-01,4.829268157482147217e-01,1.867167949676513672e-01,5.659824013710021973e-01
58,1.274509876966476440e-01,2.374429255723953247e-01,4.792682826519012451e-01,1.766917258501052856e-01,5.513196587562561035e-01
59,1.421568691730499268e-01,2.648401856422424316e-01,4.975609779357910156e-01,1.804511249065399170e-01,5.571847558021545410e-01
60,1.470588296651840210e-01,2.511415481567382812e-01,5.000000000000000000e-01,1.817042678594589233e-01,5.513196587562561035e-01
61,1.446078419685363770e-01,2.465753406286239624e-01,4.853658676147460938e-01,1.854636520147323608e-01,5.571847558021545410e-01
62,1.740196049213409424e-01,2.648401856422424316e-01,4.841463267803192139e-01,1.829573959112167358e-01,5.439882874488830566e-01
63,2.303921580314636230e-01,2.831050157546997070e-01,4.951219558715820312e-01,1.666666716337203979e-01,5.469208359718322754e-01
64,2.377450913190841675e-01,3.013698756694793701e-01,4.987804889678955078e-01,1.704260706901550293e-01,5.395894646644592285e-01
65,2.475490123033523560e-01,2.785388231277465820e-01,4.853658676147460938e-01,2.994987368583679199e-01,5.513196587562561035e-01
66,2.303921580314636230e-01,2.739726006984710693e-01,4.743902385234832764e-01,6.027569174766540527e-01,5.366569161415100098e-01
67,2.254901975393295288e-01,2.648401856422424316e-01,4.987804889678955078e-01,8.822054862976074219e-01,5.439882874488830566e-01
68,1.985294073820114136e-01,2.420091331005096436e-01,5.048780441284179688e-01,7.894737124443054199e-01,5.381231904029846191e-01
69,1.764705926179885864e-01,2.739726006984710693e-01,4.951219558715820312e-01,4.987468719482421875e-01,5.425220131874084473e-01
70,1.323529481887817383e-01,2.922374308109283447e-01,5.219511985778808594e-01,2.255639135837554932e-01,5.322580933570861816e-01
71,1.250000000000000000e-01,2.785388231277465820e-01,5.463414788246154785e-01,4.636591300368309021e-02,5.439882874488830566e-01
72,1.176470592617988586e-01,2.831050157546997070e-01,5.451219677925109863e-01,1.077694222331047058e-01,5.337243676185607910e-01
73,1.225490197539329529e-01,2.648401856422424316e-01,5.560975670814514160e-01,1.553884744644165039e-01,5.381231904029846191e-01
74,1.127450987696647644e-01,2.739726006984710693e-01,5.829268097877502441e-01,1.240601539611816406e-01,5.351906418800354004e-01
75,1.299019604921340942e-01,2.602739632129669189e-01,5.731707215309143066e-01,1.240601539611816406e-01,5.469208359718322754e-01
76,1.151960790157318115e-01,2.602739632129669189e-01,5.707316994667053223e-01,1.228070184588432312e-01,5.395894646644592285e-01
77,8.333333581686019897e-02,2.785388231277465820e-01,5.670731663703918457e-01,1.190476194024085999e-01,5.366569161415100098e-01
78,0.000000000000000000e+00,2.831050157546997070e-01,5.487805008888244629e-01,1.102756857872009277e-01,5.307917594909667969e-01
79,6.617647409439086914e-02,2.831050157546997070e-01,5.329268574714660645e-01,1.002506241202354431e-01,5.322580933570861816e-01
80,3.063725531101226807e-01,3.059360682964324951e-01,5.158536434173583984e-01,0.000000000000000000e+00,5.278592109680175781e-01
81,6.127451062202453613e-01,2.922374308109283447e-01,5.000000000000000000e-01,0.000000000000000000e+00,5.351906418800354004e-01
82,8.602941036224365234e-01,3.059360682964324951e-01,4.987804889678955078e-01,0.000000000000000000e+00,5.263929367065429688e-01
83,1.000000000000000000e+00,3.515981733798980713e-01,5.024390220642089844e-01,0.000000000000000000e+00,5.322580933570861816e-01
84,9.583333134651184082e-01,4.429223835468292236e-01,5.060975551605224609e-01,0.000000000000000000e+00,5.219941139221191406e-01
85,7.450980544090270996e-01,6.894977092742919922e-01,5.012195110321044922e-01,0.000000000000000000e+00,5.307917594909667969e-01
86,3.039215803146362305e-01,9.086757898330688477e-01,5.243902206420898438e-01,0.000000000000000000e+00,5.205278396606445312e-01
87,1.642156839370727539e-01,6.118721365928649902e-01,6.000000238418579102e-01,0.000000000000000000e+00,5.322580933570861816e-01
88,2.058823555707931519e-01,7.305935770273208618e-02,7.548780441284179688e-01,0.000000000000000000e+00,5.249266624450683594e-01
89,1.642156839370727539e-01,0.000000000000000000e+00,9.012194871902465820e-01,0.000000000000000000e+00,5.278592109680175781e-01
90,1.029411777853965759e-01,6.392694264650344849e-02,1.000000000000000000e+00,0.000000000000000000e+00,5.219941139221191406e-01
91,9.558823704719543457e-02,9.132420271635055542e-02,9.829268455505371094e-01,0.000000000000000000e+00,5.381231904029846191e-01
92,9.068627655506134033e-02,1.004566177725791931e-01,7.817073464393615723e-01,0.000000000000000000e+00,5.366569161415100098e-01
93,1.004901975393295288e-01,1.780821979045867920e-01,5.560975670814514160e-01,0.000000000000000000e+00,5.483871102333068848e-01
94,9.558823704719543457e-02,1.643835604190826416e-01,5.109755992889404297e-01,0.000000000000000000e+00,5.337243676185607910e-01
95,9.803921729326248169e-02,1.643835604190826416e-01,5.085365772247314453e-01,0.000000000000000000e+00,5.469208359718322754e-01
96,9.313725680112838745e-02,1.826484054327011108e-01,4.804877936840057373e-01,0.000000000000000000e+00,5.351906418800354004e-01
97,9.803921729326248169e-02,2.420091331005096436e-01,4.792682826519012451e-01,0.000000000000000000e+00,5.454545617103576660e-01
98,9.558823704719543457e-02,3.013698756694793701e-01,4.817073047161102295e-01,0.000000000000000000e+00,5.351906418800354004e-01
99,1.127450987696647644e-01,3.196347057819366455e-01,4.792682826519012451e-01,0.000000000000000000e+00,5.542522072792053223e-01
100,0.000000000000000000e+00,2.922374308109283447e-01,4.670731723308563232e-01,0.000000000000000000e+00,5.601173043251037598e-01
101,0.000000000000000000e+00,2.922374308109283447e-01,4.682926833629608154e-01,0.000000000000000000e+00,6.539589166641235352e-01
102,0.000000000000000000e+00,3.196347057819366455e-01,4.780487716197967529e-01,0.000000000000000000e+00,1.000000000000000000e+00
103,0.000000000000000000e+00,0.000000000000000000e+00,4.756097495555877686e-01,0.000000000000000000e+00,9.134897589683532715e-01
104,0.000000000000000000e+00,0.000000000000000000e+00,4.756097495555877686e-01,0.000000000000000000e+00,8.167155385017395020e-01
105,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.463343143463134766e-01
106,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.539589166641235352e-01
107,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.747800469398498535e-01
108,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.692082107067108154e-01
109,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.621701002120971680e-01
110,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.184750735759735107e-01
111,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.304985284805297852e-01
112,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.865102633833885193e-02
113,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.131964758038520813e-02
114,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.158357858657836914e-02
115,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.070381253957748413e-01
116,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.906158328056335449e-01
117,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.005865216255187988e-01
118,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.240469098091125488e-01
119,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.548386991024017334e-01
120,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.900293111801147461e-01
121,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.457477927207946777e-01
122,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.882698059082031250e-01
123,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.454545617103576660e-01
