Metric,Baseline float32,Quantized INT8
Test accuracy,0.952631098118034,0.9512150557281198
Test loss,0.19499147700898573,0.2144738882780075
Macro precision,0.7774904042283237,0.7778524811989828
Macro recall,0.8555412723968555,0.851377131002937
Macro F1,0.8050149217874724,0.8054523685949364
Weighted F1,0.953552635463176,0.9520694795464331
Trainable parameters,11173.0,11173.0
Model size bytes,90361.0,23576.0
Size reduction percent,0.0,73.9090979515499
Tensor arena KiB,,80.0
ESP32 latency ms per beat,,52.0
